description,category,amount,date
Fitness supplement,Fitness,9463,13-12-2023
Pet food,Pets,2070,18-08-2023
Miscellaneous expense,Medical,3571,09-04-2023
Course fee,Education,7036,10-02-2023
New furniture,Household,3408,18-11-2023
Online class payment,Education,5338,04-02-2023
Fuel refill,Transport,9215,23-07-2023
Car insurance renewal,Insurance,4625,24-09-2023
Doctor visit,Healthcare,9726,25-09-2023
Lunch with friends,Dining Out,6890,18-03-2023
Course fee,Education,1830,16-10-2023
Water bill (rent included),Rent,8875,26-06-2023
Café snacks,Dining Out,6375,02-12-2023
Tour package,Travel,713,30-03-2023
Miscellaneous expense,Dining,2456,13-11-2023
Pet grooming,Pets,6681,20-01-2023
Gas connection payment,Utilities,3992,26-01-2023
Travel insurance,Travel,6202,11-01-2023
Miscellaneous expense,Personal Care,5194,24-05-2023
Flight booking,Travel,3834,10-03-2023
Home insurance,Insurance,7359,14-06-2023
Miscellaneous expense,Dining,1562,07-04-2023
Medicine purchase,Healthcare,6771,06-09-2023
Online store order,Shopping,1020,21-09-2023
Miscellaneous expense,Medical,5197,30-12-2023
Mall shopping,Shopping,2322,26-09-2023
Gym membership,Fitness,2946,09-04-2023
Clothes shopping,Shopping,4187,17-01-2023
Doctor visit,Healthcare,6004,27-12-2023
Online store order,Shopping,6135,26-08-2023
Mall shopping,Shopping,2129,15-12-2023
Concert ticket,Entertainment,6202,08-09-2023
Vet visit,Pets,3009,31-08-2023
Fitness supplement,Fitness,5830,26-06-2023
Miscellaneous expense,Medical,1580,26-05-2023
Gaming subscription,Entertainment,913,25-03-2023
Gym membership,Fitness,3726,28-11-2023
Hotel booking,Travel,4508,30-11-2023
Lunch with friends,Dining Out,245,31-08-2023
Book purchase,Education,9949,05-01-2023
Travel insurance,Travel,5104,31-12-2023
Anniversary present,Gifts,7043,12-07-2023
Internet bill,Utilities,4228,22-04-2023
Health checkup,Healthcare,8630,16-11-2023
Electricity bill,Utilities,220,19-09-2023
New furniture,Household,9298,28-11-2023
Pet grooming,Pets,4731,02-06-2023
Cleaning supplies,Household,7992,02-02-2023
Miscellaneous expense,Personal Care,5427,22-05-2023
Miscellaneous expense,Dining,3186,18-03-2023
Footwear purchase,Shopping,1030,04-11-2023
Gas connection payment,Utilities,2392,14-01-2023
Anniversary present,Gifts,4943,13-05-2023
Ordered food online,Dining Out,6461,19-01-2023
Fitness supplement,Fitness,9472,08-04-2023
Miscellaneous expense,Personal Care,8859,23-11-2023
Travel insurance,Travel,8411,03-06-2023
Miscellaneous expense,Medical,4913,19-02-2023
Hotel booking,Travel,4337,14-10-2023
Miscellaneous expense,Medical,1563,24-04-2023
Water bill,Utilities,5131,04-08-2023
Miscellaneous expense,Personal Care,4369,27-10-2023
Car insurance renewal,Insurance,2029,29-08-2023
Bought vegetables,Groceries,7836,10-04-2023
Clothes shopping,Shopping,6353,29-09-2023
Car insurance renewal,Insurance,985,19-03-2023
Book purchase,Education,5714,29-07-2023
Yoga class fee,Fitness,2446,11-06-2023
Miscellaneous expense,Medical,8088,20-06-2023
Birthday gift,Gifts,5234,21-11-2023
Bought vegetables,Groceries,7506,21-05-2023
Footwear purchase,Shopping,9541,23-03-2023
Flight booking,Travel,2220,11-11-2023
Ordered food online,Dining Out,6709,08-08-2023
Tour package,Travel,176,20-01-2023
Health insurance premium,Insurance,6212,08-01-2023
Miscellaneous expense,Personal Care,393,13-12-2023
Concert ticket,Entertainment,3807,22-12-2023
Gas connection payment,Utilities,2212,22-02-2023
Gas connection payment,Utilities,2836,03-02-2023
Monthly grocery stock,Groceries,4864,22-08-2023
Online store order,Shopping,7205,18-12-2023
Online class payment,Education,8131,03-07-2023
Footwear purchase,Shopping,6709,10-01-2023
Hotel booking,Travel,2249,19-04-2023
Concert ticket,Entertainment,2117,07-07-2023
Birthday gift,Gifts,6247,24-11-2023
Miscellaneous expense,Dining,9830,25-01-2023
Cleaning supplies,Household,423,25-01-2023
Monthly housing fee,Rent,7379,14-07-2023
Water bill (rent included),Rent,7872,26-12-2023
Book purchase,Education,252,04-06-2023
Lunch with friends,Dining Out,8624,19-05-2023
Pet grooming,Pets,2347,03-08-2023
Apartment rent,Rent,4731,28-02-2023
Monthly housing fee,Rent,3354,08-11-2023
Online store order,Shopping,8671,14-04-2023
Internet bill,Utilities,4939,24-03-2023
Fruit market purchase,Groceries,3502,19-12-2023
Travel insurance,Travel,3942,02-01-2023
Movie ticket,Entertainment,1909,21-10-2023
New furniture,Household,2543,16-02-2023
Clothes shopping,Shopping,1759,12-05-2023
Birthday gift,Gifts,7583,01-06-2023
Miscellaneous expense,Dining,920,21-02-2023
Miscellaneous expense,Medical,4860,04-07-2023
New furniture,Household,7079,01-03-2023
Apartment rent,Rent,258,12-03-2023
Home decor,Household,2893,18-06-2023
Internet bill,Utilities,4495,17-02-2023
Gas connection payment,Utilities,3096,28-02-2023
Internet bill,Utilities,7579,20-05-2023
Internet bill,Utilities,7009,29-11-2023
Miscellaneous expense,Medical,2271,23-12-2023
Supermarket visit,Groceries,1799,02-08-2023
Yoga class fee,Fitness,9421,14-12-2023
Medicine purchase,Healthcare,6321,03-07-2023
Pet food,Pets,2240,05-09-2023
Flight booking,Travel,6838,14-08-2023
Bought vegetables,Groceries,4386,02-12-2023
Miscellaneous expense,Personal Care,8698,23-10-2023
Gym membership,Fitness,5642,23-09-2023
Clothes shopping,Shopping,7191,05-12-2023
Tour package,Travel,5764,06-12-2023
Home decor,Household,6405,18-03-2023
Home insurance,Insurance,994,06-01-2023
Birthday gift,Gifts,8383,29-08-2023
Hotel booking,Travel,1326,09-09-2023
Miscellaneous expense,Personal Care,5521,23-05-2023
Supermarket visit,Groceries,9119,26-11-2023
Internet bill,Utilities,3950,10-02-2023
Lab test fee,Healthcare,9488,18-08-2023
Fuel refill,Transport,7424,11-06-2023
Monthly housing fee,Rent,391,22-02-2023
Internet bill,Utilities,687,13-10-2023
Health insurance premium,Insurance,1589,06-11-2023
Pet grooming,Pets,5090,18-09-2023
Health insurance premium,Insurance,7574,24-06-2023
Electricity bill,Utilities,3752,21-08-2023
Miscellaneous expense,Personal Care,6052,20-08-2023
Apartment rent,Rent,3733,02-01-2023
Miscellaneous expense,Personal Care,4883,08-10-2023
Online store order,Shopping,1841,24-01-2023
Miscellaneous expense,Medical,2401,29-07-2023
Water bill (rent included),Rent,3309,07-04-2023
Monthly housing fee,Rent,3632,23-08-2023
Online store order,Shopping,1865,01-08-2023
Bought vegetables,Groceries,7481,23-08-2023
Home decor,Household,8360,10-03-2023
Flight booking,Travel,8789,25-01-2023
Car insurance renewal,Insurance,9686,05-09-2023
Footwear purchase,Shopping,9579,30-03-2023
Course fee,Education,6447,03-12-2023
Pet grooming,Pets,5373,16-09-2023
Internet bill,Utilities,4167,21-05-2023
Gas connection payment,Utilities,4919,20-08-2023
Book purchase,Education,6862,05-11-2023
Online store order,Shopping,9075,10-06-2023
Home insurance,Insurance,3660,13-04-2023
Online store order,Shopping,5757,11-12-2023
Book purchase,Education,8355,05-10-2023
Anniversary present,Gifts,1990,30-06-2023
Car insurance renewal,Insurance,9648,20-10-2023
Home decor,Household,6939,12-12-2023
Car insurance renewal,Insurance,7020,07-01-2023
Clothes shopping,Shopping,514,15-07-2023
Course fee,Education,1027,13-04-2023
Miscellaneous expense,Dining,4795,16-12-2023
Miscellaneous expense,Dining,1116,20-12-2023
Health insurance premium,Insurance,8966,17-01-2023
Internet bill,Utilities,1779,12-11-2023
Home decor,Household,9305,25-04-2023
Gift cards,Gifts,6471,02-05-2023
Online store order,Shopping,869,15-07-2023
Internet bill,Utilities,5222,10-10-2023
Bought vegetables,Groceries,4217,14-04-2023
Vet visit,Pets,3795,21-11-2023
Anniversary present,Gifts,9740,07-10-2023
Pet food,Pets,3270,31-05-2023
Medicine purchase,Healthcare,1320,06-04-2023
Miscellaneous expense,Medical,6280,21-01-2023
Café snacks,Dining Out,9219,16-05-2023
Book purchase,Education,9668,11-05-2023
Netflix renewal,Entertainment,7740,30-12-2023
Course fee,Education,2618,15-06-2023
Pet food,Pets,5034,09-09-2023
Fitness supplement,Fitness,5966,07-02-2023
Miscellaneous expense,Personal Care,3112,24-09-2023
Cab ride,Transport,6914,06-10-2023
Car insurance renewal,Insurance,1606,28-06-2023
Hotel booking,Travel,5537,19-06-2023
Gas connection payment,Utilities,3679,13-11-2023
Mall shopping,Shopping,9296,29-11-2023
Movie ticket,Entertainment,5768,17-08-2023
Hotel booking,Travel,753,16-12-2023
Miscellaneous expense,Personal Care,1957,17-07-2023
Miscellaneous expense,Dining,504,22-09-2023
Internet bill,Utilities,8075,23-01-2023
Home insurance,Insurance,3254,14-06-2023
Clothes shopping,Shopping,1672,27-03-2023
Home insurance,Insurance,220,17-11-2023
Cab ride,Transport,3592,17-12-2023
Lunch with friends,Dining Out,3468,03-10-2023
Lunch with friends,Dining Out,2619,13-01-2023
Health checkup,Healthcare,720,14-02-2023
Bus pass recharge,Transport,3016,09-05-2023
Health insurance premium,Insurance,9520,27-04-2023
Miscellaneous expense,Dining,6457,19-08-2023
Anniversary present,Gifts,7194,11-06-2023
Gaming subscription,Entertainment,2038,01-10-2023
Movie ticket,Entertainment,9694,24-01-2023
Train ticket,Transport,8338,24-02-2023
Home insurance,Insurance,5037,07-11-2023
Train ticket,Transport,7270,15-07-2023
Electricity bill,Utilities,7865,22-03-2023
Health insurance premium,Insurance,2334,20-07-2023
Car insurance renewal,Insurance,2460,02-06-2023
Home decor,Household,6213,06-01-2023
Home insurance,Insurance,2416,05-03-2023
Bought vegetables,Groceries,9483,02-11-2023
Electricity bill,Utilities,5092,18-04-2023
Water bill,Utilities,6860,27-11-2023
Footwear purchase,Shopping,2737,05-04-2023
Travel insurance,Travel,3283,28-02-2023
Miscellaneous expense,Medical,9092,25-08-2023
Gift cards,Gifts,1298,29-05-2023
Cleaning supplies,Household,4207,20-02-2023
Mall shopping,Shopping,5520,02-07-2023
Book purchase,Education,1739,26-05-2023
Pet food,Pets,3270,12-06-2023
Tour package,Travel,5479,12-11-2023
New furniture,Household,9671,20-03-2023
Fitness supplement,Fitness,6071,11-06-2023
Dinner at restaurant,Dining Out,179,10-06-2023
Hotel booking,Travel,7245,22-05-2023
Water bill,Utilities,5532,03-09-2023
Lab test fee,Healthcare,5977,06-06-2023
Flight booking,Travel,2979,27-11-2023
Pet food,Pets,4697,13-03-2023
Health insurance premium,Insurance,4412,17-11-2023
Bus pass recharge,Transport,405,17-09-2023
Birthday gift,Gifts,9633,24-10-2023
Water bill,Utilities,700,10-10-2023
Miscellaneous expense,Dining,2535,07-07-2023
Water bill,Utilities,9760,29-05-2023
Library fee,Education,8310,19-09-2023
Fuel refill,Transport,6061,15-09-2023
Concert ticket,Entertainment,2817,21-09-2023
Library fee,Education,2708,02-04-2023
Fitness supplement,Fitness,2495,05-09-2023
Electricity bill,Utilities,3685,07-09-2023
Flight booking,Travel,4431,09-07-2023
Flight booking,Travel,3487,23-09-2023
Internet bill,Utilities,7795,21-08-2023
Bought vegetables,Groceries,5409,22-02-2023
Online store order,Shopping,4414,24-10-2023
Home insurance,Insurance,2948,12-07-2023
Anniversary present,Gifts,6085,28-10-2023
Birthday gift,Gifts,8565,09-05-2023
Water bill,Utilities,8560,27-07-2023
Gas connection payment,Utilities,8076,04-09-2023
Pet food,Pets,8322,13-03-2023
Medicine purchase,Healthcare,3868,09-02-2023
Online store order,Shopping,3565,18-03-2023
Miscellaneous expense,Medical,6034,05-11-2023
House maintenance fee,Rent,6893,19-06-2023
Monthly housing fee,Rent,7944,03-09-2023
Footwear purchase,Shopping,6832,12-01-2023
Flight booking,Travel,2195,21-10-2023
Gym membership,Fitness,2307,19-11-2023
Clothes shopping,Shopping,9476,17-03-2023
Supermarket visit,Groceries,4331,03-04-2023
Mall shopping,Shopping,9919,16-10-2023
Birthday gift,Gifts,4744,13-02-2023
Mall shopping,Shopping,7823,04-09-2023
Miscellaneous expense,Medical,6830,04-11-2023
Book purchase,Education,8469,16-05-2023
Miscellaneous expense,Medical,7529,02-11-2023
Gym membership,Fitness,3865,13-07-2023
Water bill,Utilities,1878,09-01-2023
Mall shopping,Shopping,2550,07-11-2023
House maintenance fee,Rent,7896,11-11-2023
Pet food,Pets,8806,15-09-2023
Apartment rent,Rent,8001,04-12-2023
Course fee,Education,7169,25-09-2023
Café snacks,Dining Out,811,24-12-2023
Mall shopping,Shopping,3859,04-09-2023
Gas connection payment,Utilities,9750,23-12-2023
Gym membership,Fitness,7071,10-03-2023
Miscellaneous expense,Dining,3909,12-02-2023
Home insurance,Insurance,9008,29-07-2023
Miscellaneous expense,Dining,189,30-12-2023
Movie ticket,Entertainment,8615,04-01-2023
Water bill,Utilities,5275,29-07-2023
Electricity bill,Utilities,2635,07-08-2023
Gift cards,Gifts,4255,14-05-2023
Car insurance renewal,Insurance,9351,07-07-2023
Vet visit,Pets,6611,15-04-2023
Ordered food online,Dining Out,3028,09-07-2023
Home insurance,Insurance,8025,10-05-2023
Home insurance,Insurance,5741,28-12-2023
Water bill,Utilities,2051,28-04-2023
Medicine purchase,Healthcare,1742,20-04-2023
Mall shopping,Shopping,5644,09-10-2023
Pet grooming,Pets,952,24-03-2023
Electricity bill,Utilities,1592,16-03-2023
Tour package,Travel,1544,02-02-2023
Miscellaneous expense,Dining,6175,10-02-2023
Pet food,Pets,6396,25-07-2023
Pet grooming,Pets,8636,27-05-2023
Pet food,Pets,2971,24-11-2023
Tour package,Travel,275,14-04-2023
Home decor,Household,4785,10-04-2023
Supermarket visit,Groceries,2876,12-12-2023
Monthly grocery stock,Groceries,4019,02-12-2023
Concert ticket,Entertainment,1522,22-05-2023
Gas connection payment,Utilities,6574,27-07-2023
Gym membership,Fitness,8582,08-01-2023
Bus pass recharge,Transport,9104,26-05-2023
Home insurance,Insurance,5803,27-06-2023
Miscellaneous expense,Dining,3287,21-08-2023
Electricity bill,Utilities,4377,31-03-2023
Lunch with friends,Dining Out,9252,07-02-2023
Online store order,Shopping,5670,01-03-2023
Online store order,Shopping,8913,22-10-2023
Miscellaneous expense,Dining,6278,16-10-2023
Hotel booking,Travel,5665,23-08-2023
New furniture,Household,9714,15-01-2023
Flight booking,Travel,4324,04-02-2023
Water bill,Utilities,3867,11-06-2023
Café snacks,Dining Out,8562,02-10-2023
Netflix renewal,Entertainment,4167,28-05-2023
Fuel refill,Transport,5703,08-02-2023
Health insurance premium,Insurance,7907,10-06-2023
Water bill,Utilities,9499,18-05-2023
Miscellaneous expense,Medical,8275,13-04-2023
Hotel booking,Travel,4448,16-04-2023
Hotel booking,Travel,4191,13-11-2023
Water bill,Utilities,1847,03-03-2023
Fuel refill,Transport,208,05-10-2023
Fruit market purchase,Groceries,6181,14-11-2023
Miscellaneous expense,Personal Care,9512,21-05-2023
Hotel booking,Travel,8474,24-05-2023
Water bill,Utilities,9548,07-03-2023
Fruit market purchase,Groceries,7936,04-10-2023
Monthly grocery stock,Groceries,6550,18-12-2023
Miscellaneous expense,Medical,2072,24-12-2023
Mall shopping,Shopping,5271,19-12-2023
Movie ticket,Entertainment,3552,14-07-2023
Gym membership,Fitness,5431,05-07-2023
Vet visit,Pets,3166,08-10-2023
Miscellaneous expense,Dining,4513,30-08-2023
Vet visit,Pets,6095,05-04-2023
Tour package,Travel,3549,03-08-2023
Gas connection payment,Utilities,6663,24-05-2023
Medicine purchase,Healthcare,9461,09-03-2023
Fitness supplement,Fitness,3844,21-02-2023
Miscellaneous expense,Dining,9198,10-08-2023
Water bill,Utilities,2489,18-03-2023
Flight booking,Travel,2993,04-08-2023
Hotel booking,Travel,8570,01-10-2023
Miscellaneous expense,Personal Care,5015,09-05-2023
Home insurance,Insurance,881,23-07-2023
House maintenance fee,Rent,1083,21-04-2023
Miscellaneous expense,Dining,1677,19-08-2023
Miscellaneous expense,Personal Care,6014,04-07-2023
Home insurance,Insurance,4322,26-06-2023
Gaming subscription,Entertainment,2086,29-06-2023
Home decor,Household,3359,23-10-2023
Fitness supplement,Fitness,8921,31-03-2023
Car insurance renewal,Insurance,5426,11-12-2023
Mall shopping,Shopping,7422,10-02-2023
Gas connection payment,Utilities,7698,20-11-2023
Book purchase,Education,5627,04-08-2023
Gift cards,Gifts,9465,27-07-2023
Bus pass recharge,Transport,2754,25-06-2023
Travel insurance,Travel,5291,01-12-2023
Home insurance,Insurance,4482,06-11-2023
Anniversary present,Gifts,4544,16-08-2023
Internet bill,Utilities,6882,27-03-2023
Miscellaneous expense,Medical,2148,01-05-2023
New furniture,Household,1411,18-04-2023
Miscellaneous expense,Medical,1787,18-02-2023
Fuel refill,Transport,9085,28-01-2023
Gaming subscription,Entertainment,8684,12-02-2023
Water bill (rent included),Rent,2644,13-02-2023
Anniversary present,Gifts,5168,28-04-2023
Travel insurance,Travel,7360,17-11-2023
Book purchase,Education,8730,29-03-2023
Movie ticket,Entertainment,5946,16-06-2023
Tour package,Travel,8956,20-05-2023
Car insurance renewal,Insurance,2313,24-12-2023
Health insurance premium,Insurance,9780,02-11-2023
Lab test fee,Healthcare,8676,24-11-2023
Gift cards,Gifts,5173,27-06-2023
Hotel booking,Travel,1567,15-08-2023
Car insurance renewal,Insurance,6853,14-05-2023
Online class payment,Education,272,01-01-2023
Footwear purchase,Shopping,5734,27-05-2023
Flight booking,Travel,8159,02-09-2023
Health insurance premium,Insurance,7152,30-05-2023
Pet food,Pets,218,08-10-2023
Water bill,Utilities,6845,15-10-2023
Ordered food online,Dining Out,4194,25-03-2023
Anniversary present,Gifts,6299,23-04-2023
Miscellaneous expense,Dining,7017,17-11-2023
Travel insurance,Travel,4764,29-11-2023
Car insurance renewal,Insurance,6865,07-04-2023
Cab ride,Transport,2338,29-05-2023
Monthly housing fee,Rent,7518,20-05-2023
Vet visit,Pets,3176,14-06-2023
Concert ticket,Entertainment,913,01-10-2023
Concert ticket,Entertainment,1775,25-05-2023
Miscellaneous expense,Dining,7283,05-01-2023
Flight booking,Travel,2568,08-01-2023
Hotel booking,Travel,5701,04-08-2023
Car insurance renewal,Insurance,6184,26-08-2023
Monthly grocery stock,Groceries,1414,16-03-2023
Monthly grocery stock,Groceries,6529,06-02-2023
Car insurance renewal,Insurance,3075,09-04-2023
Miscellaneous expense,Dining,306,04-03-2023
Tour package,Travel,7357,07-05-2023
Supermarket visit,Groceries,7650,18-02-2023
Footwear purchase,Shopping,7846,19-07-2023
New furniture,Household,5393,23-03-2023
Gift cards,Gifts,791,09-10-2023
Clothes shopping,Shopping,4250,04-09-2023
Anniversary present,Gifts,3355,04-07-2023
Supermarket visit,Groceries,1950,01-05-2023
Anniversary present,Gifts,5416,08-01-2023
Miscellaneous expense,Medical,9679,03-03-2023
Water bill,Utilities,246,22-01-2023
Fitness supplement,Fitness,7886,19-12-2023
Pet food,Pets,6184,15-02-2023
Hotel booking,Travel,8290,16-02-2023
Home decor,Household,5644,17-11-2023
Bought vegetables,Groceries,5924,27-11-2023
Course fee,Education,2161,07-09-2023
